"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,0,1,0,0,0,0,0,1,0
"2",0,0,0,0,0,0,0,1,0,1
"3",0,1,0,1,0,0,0,0,1,1
"4",0,0,0,0,0,0,0,0,0,0
"5",0,1,0,0,0,0,1,1,0,1
"6",0,1,0,0,0,0,0,0,0,1
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,1,0,0,1,0
"9",0,1,0,0,0,0,0,0,0,0
"10",1,0,0,2,0,2,2,0,2,0
"11",0,0,0,0,0,0,0,0,0,0
"12",1,0,0,0,0,0,1,1,1,2
"13",0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,2,0,2
"15",0,2,0,0,2,0,1,2,0,2
"16",0,1,0,0,1,0,0,1,0,2
"17",0,0,0,0,0,0,0,0,1,1
"18",0,0,0,0,0,0,1,0,0,0
"19",0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,1,1
"21",0,0,0,0,0,1,0,0,1,0
"22",0,0,0,1,0,0,1,1,0,0
"23",1,1,0,2,0,0,0,0,2,1
"24",1,1,0,2,0,1,0,0,0,0
"25",0,0,0,0,0,0,0,1,0,1
"26",0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,0,0,0,0,1,0
"28",0,0,1,2,0,2,1,0,2,0
"29",0,0,0,0,1,0,0,1,0,2
"30",1,1,0,2,0,0,0,1,0,0
"31",0,0,0,0,0,1,0,1,1,1
"32",1,0,1,2,0,1,0,0,2,0
"33",0,0,0,0,0,0,0,0,1,0
"34",0,0,0,0,0,0,1,3,0,3
"35",0,1,0,0,2,0,0,2,0,2
"36",0,0,0,1,0,0,0,0,1,0
"37",0,0,0,0,0,0,0,0,0,1
"38",0,0,0,0,0,1,0,1,1,1
"39",0,0,0,0,0,0,0,0,0,1
"40",0,1,0,0,0,0,0,2,0,2
"41",0,1,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,1,0,1
"43",1,1,1,1,0,1,1,0,1,2
"44",1,1,1,1,0,1,1,0,1,1
"45",1,1,0,0,0,0,1,0,0,1
"46",2,0,0,1,0,0,0,0,3,1
"47",1,1,0,2,0,1,1,2,1,4
"48",0,0,0,0,0,1,0,0,1,0
"49",0,0,0,0,0,0,0,0,0,1
"50",0,1,0,0,1,0,0,2,1,4
"51",0,0,0,0,0,1,1,0,1,0
"52",1,0,0,1,0,0,0,2,0,3
"53",0,0,0,0,0,0,0,0,1,0
"54",1,2,1,2,1,0,0,3,0,3
"55",0,1,0,1,0,0,0,0,1,1
"56",0,1,0,0,0,0,0,0,0,0
"57",0,1,0,0,0,0,0,1,0,0
"58",1,0,1,3,0,2,1,1,3,0
"59",0,1,0,0,1,0,0,1,0,1
"60",0,0,0,0,0,0,0,1,1,1
"61",0,0,0,0,0,0,0,0,0,1
"62",0,0,0,0,1,0,0,1,0,2
"63",0,0,0,0,0,0,0,2,1,1
"64",0,1,0,0,0,0,0,0,0,2
"65",0,0,0,0,0,0,1,0,0,1
"66",0,0,0,1,1,0,0,1,0,1
"67",0,0,0,0,0,0,0,0,0,0
"68",2,2,0,1,0,0,0,0,1,1
"69",0,0,0,0,0,0,0,2,0,1
"70",0,0,0,0,0,0,0,0,0,0
"71",0,0,0,1,0,0,0,0,0,0
"72",1,0,1,2,0,0,2,1,1,2
"73",0,0,0,0,0,0,0,0,0,0
"74",0,1,0,0,0,0,1,1,0,1
"75",0,0,0,0,0,0,0,1,0,0
"76",0,1,0,0,1,0,0,1,1,2
"77",1,1,0,1,0,0,0,0,0,1
"78",1,2,0,1,0,1,1,1,2,0
"79",0,0,0,1,0,1,0,1,2,1
"80",1,1,0,2,0,0,1,0,1,0
"81",0,0,0,0,0,0,0,0,1,0
"82",0,1,0,0,0,1,1,0,2,0
"83",0,1,0,1,0,0,0,0,0,0
"84",0,0,0,0,1,0,0,1,0,2
"85",0,0,0,0,0,0,0,0,0,0
"86",0,1,0,2,0,0,0,1,0,0
"87",0,0,0,0,0,0,0,0,0,0
"88",0,1,0,0,0,0,1,1,0,1
"89",0,0,0,0,0,0,0,0,0,1
"90",1,2,0,1,0,0,1,0,1,0
"91",0,0,0,0,0,0,0,1,0,0
"92",0,1,0,0,0,0,0,2,0,1
"93",0,0,0,0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0,0,1,1
"95",0,1,0,1,0,0,0,2,3,0
"96",0,0,0,0,0,0,1,0,0,0
"97",0,0,0,0,0,0,0,1,0,0
"98",0,1,0,0,0,0,0,1,0,1
"99",1,0,1,0,0,1,0,0,2,1
"100",0,1,0,1,0,0,0,1,1,1
"101",0,1,0,0,0,0,0,0,0,2
"102",0,0,0,0,0,0,0,1,0,0
"103",0,0,0,0,0,0,0,0,0,0
"104",0,1,0,1,0,0,0,1,0,0
"105",1,0,0,0,0,1,0,1,1,2
"106",0,1,0,0,1,0,0,1,0,2
"107",0,0,0,0,0,1,0,1,1,1
"108",0,0,0,1,0,0,0,0,0,0
"109",0,0,0,0,0,0,0,0,0,0
"110",0,1,0,0,0,0,0,0,0,1
"111",0,1,0,2,1,0,0,1,2,2
"112",0,0,0,0,0,0,0,0,1,0
"113",0,1,0,0,0,0,0,1,0,1
"114",0,0,0,0,0,0,0,2,0,0
"115",0,0,1,0,0,1,0,0,1,0
"116",0,2,0,0,0,0,0,1,1,1
"117",1,0,0,0,0,0,0,1,1,0
"118",0,1,0,1,0,0,0,3,1,2
"119",0,0,0,1,0,0,0,4,0,1
"120",1,0,0,1,0,1,0,0,2,0
"121",0,1,0,0,0,0,0,0,0,2
"122",0,1,0,0,0,0,0,0,1,0
"123",0,0,1,0,0,0,0,4,2,3
"124",0,0,0,0,0,0,0,0,0,0
"125",0,1,0,0,1,0,0,1,0,1
"126",0,1,0,0,1,0,0,1,0,2
"127",0,1,0,1,1,0,1,1,0,1
"128",0,1,0,0,0,0,1,1,0,0
"129",0,0,0,0,0,0,1,0,0,0
"130",1,1,1,1,1,1,2,0,1,1
"131",1,1,1,1,0,1,1,0,1,0
"132",1,0,0,0,0,0,0,0,1,0
"133",0,0,0,0,1,0,0,0,1,1
"134",0,1,0,1,0,0,1,0,0,0
"135",0,0,0,1,0,0,1,2,1,2
"136",0,0,0,1,0,0,0,1,0,0
"137",2,1,0,1,0,1,0,0,2,1
"138",1,0,0,1,0,1,0,0,3,0
"139",1,0,0,1,0,0,0,0,1,1
"140",1,1,0,1,0,0,0,0,1,1
"141",0,2,0,1,2,0,1,0,1,2
"142",2,0,2,1,0,1,1,0,4,0
"143",0,0,2,1,0,2,0,2,3,1
"144",0,1,0,0,1,0,0,1,0,1
"145",1,0,0,0,0,0,0,0,1,1
"146",0,0,0,0,0,0,0,1,0,1
"147",1,2,1,1,0,0,1,0,1,0
"148",0,0,0,0,0,0,0,0,1,0
"149",0,0,0,0,0,0,0,0,0,0
"150",1,0,1,1,0,0,1,0,1,0
"151",0,1,0,0,0,0,1,1,0,1
"152",0,0,0,0,0,0,0,0,0,0
"153",0,1,0,0,0,0,1,1,0,0
"154",0,1,0,0,0,0,1,2,0,0
"155",0,0,0,0,0,0,0,0,0,0
"156",0,0,0,0,0,1,0,0,2,0
"157",0,0,0,0,0,0,1,1,0,0
"158",0,0,0,0,0,0,0,0,1,0
"159",0,0,0,1,0,0,0,0,1,0
"160",0,2,0,0,1,0,1,2,0,2
"161",0,0,0,0,0,0,0,0,1,1
"162",0,0,0,0,0,0,0,4,1,4
"163",0,0,0,0,0,0,0,0,1,0
"164",0,0,0,0,0,0,1,0,0,0
"165",0,0,0,0,0,0,0,0,0,0
"166",0,1,0,1,0,1,1,1,1,0
"167",0,1,0,0,1,0,0,1,0,1
"168",0,0,0,0,0,0,1,0,1,0
"169",0,1,0,0,1,0,1,3,2,2
"170",0,0,0,1,0,0,0,1,2,1
"171",1,2,1,2,0,1,0,0,2,0
"172",0,0,0,1,1,1,0,1,1,2
"173",0,1,1,0,1,0,1,1,0,1
"174",0,0,0,0,1,0,0,2,2,2
"175",0,0,0,0,0,0,0,0,0,0
"176",0,1,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0
"178",0,0,1,0,1,0,0,1,1,2
"179",1,0,0,1,0,0,0,1,2,0
"180",1,0,0,1,0,0,0,1,1,1
"181",0,1,0,0,1,0,1,2,0,1
"182",0,0,0,0,0,0,0,0,0,0
"183",1,1,1,1,1,0,0,0,1,3
"184",0,0,0,0,0,0,0,0,0,0
"185",1,0,1,1,0,1,0,0,1,0
"186",0,1,0,1,0,0,0,1,0,1
"187",1,0,1,0,0,0,1,0,2,0
"188",1,1,0,2,1,0,0,0,2,1
"189",0,0,0,0,0,0,0,0,0,0
"190",1,0,1,1,0,2,0,0,1,0
"191",0,0,1,0,0,0,0,2,2,2
"192",0,0,0,0,0,0,0,2,0,1
"193",0,0,0,1,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,1,0,0
"195",0,0,0,1,0,0,1,1,0,0
"196",0,0,0,1,0,0,0,1,1,0
"197",1,0,0,0,0,0,0,1,1,1
"198",0,0,0,0,0,0,1,2,0,2
"199",0,1,0,0,1,0,2,1,1,2
"200",0,0,0,1,0,0,0,0,2,1
"201",0,0,0,0,0,0,0,0,0,0
"202",1,0,0,1,0,1,0,0,2,0
"203",2,0,1,1,0,1,0,0,2,0
"204",0,1,0,0,0,0,0,1,0,0
"205",0,1,1,0,0,0,0,0,1,0
"206",0,0,0,0,0,0,1,0,0,0
"207",1,0,1,1,0,0,1,0,2,0
"208",0,0,0,0,0,0,0,1,0,0
"209",0,0,0,0,0,0,0,1,0,0
"210",0,0,0,0,0,0,0,0,0,0
"211",0,0,0,0,0,0,1,2,0,2
"212",0,1,0,1,0,0,0,1,2,1
"213",0,0,0,0,0,0,0,0,0,0
"214",0,0,0,0,0,0,0,0,0,0
"215",1,1,0,1,0,0,1,0,3,0
"216",3,2,3,2,0,2,1,0,3,1
"217",1,1,0,0,1,0,1,2,0,2
"218",0,0,0,0,0,0,0,1,0,0
"219",0,1,0,1,0,0,0,1,1,0
"220",1,0,0,0,0,0,0,1,2,1
"221",0,1,0,0,1,0,1,0,0,2
"222",0,2,0,0,1,0,2,1,1,1
"223",0,1,0,0,1,0,1,1,0,1
"224",0,2,0,0,2,0,1,1,0,2
"225",1,3,0,2,0,1,0,1,1,1
"226",0,0,0,0,0,0,0,0,1,0
"227",0,0,0,0,0,0,0,0,0,0
"228",1,0,0,1,0,1,0,0,2,0
"229",1,1,0,3,0,1,0,0,4,0
"230",0,1,0,0,0,0,0,0,0,0
"231",0,0,0,0,0,0,1,0,0,0
"232",1,1,1,0,1,0,1,1,0,2
"233",0,0,0,0,0,0,0,1,0,0
"234",0,0,0,1,0,1,0,1,1,0
"235",0,1,0,0,0,0,0,0,0,1
"236",0,0,0,0,0,0,1,0,0,0
"237",1,1,0,0,0,0,0,0,1,0
"238",1,0,0,0,0,0,0,1,1,1
"239",0,1,0,0,1,0,0,1,0,1
"240",4,0,2,2,0,2,1,0,3,0
"241",0,1,0,0,1,0,1,1,0,2
"242",0,0,2,0,0,0,0,1,0,0
"243",0,1,0,0,0,0,0,0,0,1
"244",0,0,0,0,0,0,0,0,0,1
"245",0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,1,0,1,0
"247",0,0,0,0,0,0,0,2,0,3
"248",0,2,0,0,2,0,3,1,1,2
"249",1,0,1,1,0,0,1,0,2,0
"250",0,0,0,1,0,0,0,1,0,1
"251",0,0,0,0,0,0,0,0,0,1
"252",1,0,1,1,1,1,0,1,1,1
"253",0,1,1,0,1,1,1,1,2,1
"254",1,1,0,0,1,0,1,2,0,1
"255",0,0,0,0,0,0,0,0,0,0
"256",1,0,0,0,0,0,0,1,1,1
"257",0,0,0,0,0,0,0,0,0,0
"258",0,0,0,0,0,0,0,0,0,0
"259",0,2,0,0,1,0,1,1,1,1
"260",0,0,0,0,0,1,0,0,1,0
"261",1,0,0,0,1,0,0,1,1,2
"262",0,1,0,0,0,0,0,0,0,1
"263",0,1,1,0,2,2,0,2,3,2
"264",0,0,0,0,0,0,0,0,0,1
"265",0,0,0,0,0,1,0,0,0,1
"266",3,0,2,3,0,3,1,0,4,0
"267",1,1,0,1,0,0,1,0,3,0
"268",0,0,0,0,0,0,0,0,0,0
"269",0,0,0,0,1,0,0,1,0,2
"270",1,3,0,2,0,1,0,1,1,1
"271",0,0,0,1,0,0,0,0,1,0
"272",2,2,1,1,1,1,1,2,2,2
"273",0,0,0,0,0,0,0,1,0,1
"274",0,0,0,0,0,0,0,1,2,0
"275",0,0,0,0,0,0,0,0,0,0
"276",0,1,0,0,1,0,0,1,0,2
"277",0,1,0,0,0,1,0,1,1,0
"278",1,2,0,1,1,0,0,2,1,3
"279",0,1,0,0,0,1,0,0,1,2
"280",1,2,0,1,0,0,0,0,0,1
"281",2,1,1,1,1,1,1,1,1,2
"282",0,1,0,0,0,0,0,0,0,1
"283",1,0,0,0,0,1,1,1,2,1
"284",1,0,1,1,0,0,0,0,2,1
"285",0,1,0,0,0,0,0,1,1,1
"286",0,0,0,0,0,0,0,1,0,0
"287",1,0,0,1,0,0,0,0,2,0
"288",1,0,0,0,0,0,0,1,0,1
"289",0,1,0,1,0,0,0,0,0,0
"290",2,1,3,3,0,1,1,1,3,0
"291",2,0,0,2,0,1,0,0,3,0
"292",0,1,1,0,1,0,1,1,2,1
"293",0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,2,0,1
"295",0,0,0,0,0,0,0,1,0,1
"296",0,0,0,1,0,1,0,1,1,0
"297",1,0,0,0,0,0,0,1,2,0
"298",0,0,0,0,1,0,0,1,0,2
"299",0,0,0,0,0,0,0,0,0,0
"300",0,1,0,0,0,0,0,0,1,2
"301",0,0,0,0,0,1,1,0,1,1
"302",0,0,0,1,0,1,0,0,0,0
"303",0,0,0,0,0,0,0,1,0,2
"304",0,0,0,0,0,0,0,1,0,1
"305",0,0,0,1,1,0,1,1,1,2
"306",1,0,1,1,1,1,0,1,1,1
"307",1,1,0,0,1,0,1,2,0,2
"308",1,1,0,1,0,1,0,1,2,0
"309",1,1,0,2,0,1,0,0,2,1
"310",0,0,0,0,0,0,0,1,0,1
"311",1,0,2,2,0,1,0,0,2,0
"312",0,1,0,0,1,0,0,1,0,1
"313",1,0,0,1,0,1,0,0,1,0
"314",0,0,0,0,0,0,0,0,0,0
"315",0,0,0,0,0,0,0,1,0,1
"316",0,1,0,0,0,0,1,0,1,0
"317",0,0,1,1,0,0,0,1,1,1
"318",0,2,0,0,1,0,0,0,1,2
"319",0,0,0,0,0,0,0,0,0,1
"320",0,0,0,0,0,0,0,0,0,0
"321",0,0,0,1,1,0,0,0,0,1
"322",0,0,0,1,0,0,0,1,1,2
"323",2,0,0,2,0,2,0,1,2,1
"324",1,0,0,1,0,0,1,1,1,1
"325",0,0,0,1,1,1,1,2,0,1
"326",0,1,0,0,0,0,0,1,0,1
"327",0,1,0,0,1,0,1,0,0,1
"328",1,1,1,1,0,1,0,1,1,0
"329",0,1,0,1,0,0,1,0,0,1
"330",0,0,0,0,0,0,0,0,0,0
"331",0,0,0,0,0,1,0,0,1,2
"332",1,1,0,0,2,1,1,1,1,2
"333",1,1,0,1,0,0,1,0,2,1
"334",0,0,0,0,0,0,0,2,2,1
"335",0,0,0,0,0,0,0,0,1,0
"336",0,1,0,0,1,0,0,1,0,2
"337",0,1,0,0,1,0,0,2,0,2
"338",1,0,0,1,0,0,0,0,2,0
"339",0,0,0,0,0,0,0,1,1,2
"340",2,1,0,2,1,0,1,1,3,2
"341",1,1,1,1,0,1,0,0,1,1
"342",1,1,1,1,0,1,0,1,1,1
"343",0,1,1,0,0,0,0,1,1,0
"344",0,0,0,0,0,0,0,0,0,0
"345",1,1,0,1,0,1,0,0,1,0
"346",0,0,0,1,1,1,1,1,1,3
"347",0,0,0,0,1,0,0,1,0,3
"348",1,0,1,0,0,0,0,1,1,1
"349",0,0,0,0,0,1,1,0,1,0
"350",0,0,0,1,0,0,0,1,1,0
"351",0,0,0,0,1,0,0,1,0,3
"352",0,0,0,3,2,0,0,3,1,4
"353",1,0,1,1,0,1,0,0,1,0
"354",0,0,0,0,0,0,0,0,0,1
"355",1,0,1,3,0,1,0,0,2,0
"356",0,0,0,0,0,1,0,1,2,2
"357",0,0,0,0,0,0,0,1,0,1
"358",0,1,0,0,1,1,1,0,0,1
"359",0,0,0,0,0,0,0,0,0,0
"360",0,1,0,0,0,0,0,0,0,2
"361",0,0,0,0,0,0,0,0,0,1
"362",0,1,0,0,0,0,1,1,0,1
"363",0,1,0,1,1,0,2,0,1,1
"364",1,0,0,1,0,0,0,0,1,0
"365",0,0,0,0,0,0,0,0,0,0
"366",0,1,0,1,0,1,0,0,1,0
"367",1,1,0,2,0,0,0,1,1,2
"368",0,0,0,1,0,0,1,2,0,2
"369",1,1,0,0,1,0,1,1,1,1
"370",0,1,0,0,0,1,0,2,1,1
"371",1,0,0,2,0,0,0,0,1,0
"372",0,1,1,0,1,1,1,2,1,1
"373",0,0,0,0,0,0,1,1,0,1
"374",1,1,0,2,0,2,0,0,2,0
"375",1,1,1,2,1,3,1,2,1,1
"376",0,2,0,0,1,0,0,0,1,2
"377",0,0,0,0,0,0,0,0,0,0
"378",0,0,0,0,0,0,0,1,0,0
"379",0,2,1,1,2,0,0,3,2,3
"380",1,0,1,2,0,2,0,0,3,0
"381",0,0,0,0,0,0,1,2,0,4
"382",0,0,0,0,0,0,0,0,0,0
"383",0,0,0,0,0,1,0,0,1,0
"384",0,0,0,0,0,0,0,0,0,0
"385",0,1,0,1,0,1,0,0,1,0
"386",0,0,0,1,0,0,1,0,1,0
"387",0,0,0,0,0,0,0,0,0,0
"388",0,1,0,1,0,1,0,0,1,0
"389",2,0,0,1,0,2,0,0,2,0
"390",0,0,0,0,0,0,0,0,0,2
"391",0,1,0,2,0,0,0,0,1,0
"392",0,1,0,0,0,0,0,0,0,0
"393",0,0,0,0,0,0,0,1,0,1
"394",1,0,1,1,0,1,1,0,1,0
"395",2,2,0,2,0,1,1,0,1,1
"396",0,0,0,2,0,0,0,0,1,2
"397",1,0,1,2,0,1,1,0,2,0
"398",0,1,0,0,0,0,1,0,0,1
"399",0,0,0,0,1,0,0,2,0,2
"400",1,2,1,1,1,1,0,3,1,2
"401",0,1,0,0,3,0,1,2,0,5
"402",0,0,0,0,0,0,0,0,0,0
"403",0,0,0,1,1,0,0,1,0,1
"404",1,1,0,0,1,1,0,2,2,1
"405",0,0,0,0,0,0,0,1,0,0
"406",0,0,0,0,0,0,0,0,0,0
"407",0,0,0,0,0,0,0,0,1,0
"408",0,0,0,0,0,0,0,0,0,0
"409",0,1,0,0,0,0,0,1,0,1
"410",1,2,0,2,1,0,2,3,2,2
"411",0,0,0,0,0,0,0,1,0,0
"412",1,1,1,1,0,1,0,1,1,1
"413",0,1,0,0,1,2,0,1,1,2
"414",1,1,0,0,0,0,0,1,2,0
"415",1,1,0,1,0,0,1,1,3,0
"416",0,0,0,1,0,0,0,0,1,0
"417",1,1,0,2,0,2,0,1,2,1
"418",1,0,1,1,0,0,1,0,1,1
"419",0,0,0,0,0,0,0,4,1,3
"420",0,0,0,0,0,1,0,0,1,0
"421",0,0,0,0,0,0,0,0,0,0
"422",0,0,0,0,0,0,1,2,0,2
"423",0,2,1,2,1,3,0,2,3,3
"424",0,0,0,0,0,0,0,2,0,2
"425",0,0,1,1,0,1,1,1,1,0
"426",0,0,0,0,1,0,0,2,0,2
"427",0,0,0,0,0,0,0,2,1,2
"428",0,0,0,0,0,0,1,2,0,2
"429",0,1,0,0,2,0,1,3,0,3
"430",0,0,0,0,0,0,1,0,0,1
"431",0,0,0,0,1,0,0,1,0,2
"432",0,0,0,1,0,0,0,1,1,1
"433",0,2,0,0,1,0,1,1,0,1
"434",2,0,0,1,0,2,0,0,3,0
"435",0,0,0,0,2,0,0,1,0,3
"436",1,0,0,0,0,0,0,0,1,1
"437",0,0,0,0,0,1,1,1,1,1
"438",0,0,0,0,0,0,0,1,0,0
"439",0,0,0,0,0,0,0,0,0,1
"440",0,1,0,0,1,0,1,1,0,2
"441",0,0,0,0,0,0,0,0,0,2
"442",0,0,0,0,0,1,0,1,1,1
"443",0,1,0,0,1,0,1,0,0,1
"444",1,0,1,1,0,1,0,0,1,0
"445",2,0,0,2,0,0,2,0,2,0
"446",0,1,0,0,2,0,1,1,0,2
"447",0,0,0,1,0,0,0,1,1,1
"448",0,0,1,1,0,1,0,0,1,0
"449",0,1,0,0,1,0,0,2,1,2
"450",0,0,0,0,0,1,0,0,1,0
"451",0,0,0,0,0,1,0,1,1,0
"452",0,0,0,0,0,0,1,2,0,1
"453",1,1,0,0,1,0,2,1,0,2
"454",2,0,2,1,0,0,0,3,2,3
"455",1,3,0,0,1,0,1,1,0,4
"456",1,0,0,0,0,0,1,1,2,0
"457",0,0,0,0,0,0,0,0,0,0
"458",0,0,0,1,0,0,0,2,1,0
"459",0,0,0,0,0,0,0,1,0,0
"460",0,0,0,0,0,0,1,0,1,0
"461",1,0,1,1,1,0,1,1,4,1
"462",0,1,0,0,1,0,0,1,0,1
"463",1,1,1,1,0,1,0,1,2,1
"464",0,0,0,1,0,0,1,1,0,1
